,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
5295,단국대단웅태권도,태권도,대전,서구,대전광역시 서구 도산로253번길 45,(내동),,"유치부, 초.중.고등부, 일반부",127.3808306,36.33135667
5296,정의합기도,기타종목,대구,달서구,대구광역시 달서구 조암남로 3,정의합기도4층(상인동),536361107,주짓수,128.532394,35.82273064
5297,유도클럽상무관 제1관,유도,대전,중구,대전광역시 중구 선화서로130번길 21,2층(선화동),422228890,유도수업,127.4145114,36.335123
5298,이가람태권스쿨,태권도,충남,홍성군,충청남도 홍성군 홍북읍 홍학로 83,3층 이가람태권스쿨,416347387,태권도수업,126.6754085,36.64752384
5301,롯데태권도장,태권도,대전,서구,대전 서구 내동,,,태권도,127.3773626,36.33221117
5302,무궁화태권도체육관 (해오름),태권도,대전,유성구,대전광역시 유성구 구즉로54번길 2,무궁화태권도장(송강동),,태권도,127.3854656,36.43376032
5303,청강유도관,유도,전남,광양시,전라남도 광양시 중마용소1길 5,"시영상가 102호(중동, 시영아파트)",617624025,유도의본,127.6857958,34.94196447
5304,용인대 국가대표 태권도 2관,태권도,제주,제주시,제주특별자치도 제주시 아란5길 19-2,2층(아라일동),647250722,태권도 수련,126.5440096,33.47489738
5305,세교경희대태권도,태권도,경기,오산시,경기도 오산시 수청로 168,8단지 단지내상가 203호(금암동),,태권도,127.0475354,37.17856351
5306,베스트원축구클럽,기타종목,경기,포천시,경기도 포천시 소흘읍 솔모루로109번길 13,메가프라자2층베스트원,,축구/농구,127.147471,37.83103088
5307,용인대합기도,합기도,대전,서구,대전광역시 서구 계룡로576번길 45,2층(괴정동),425256702,합기도,127.3859013,36.34045969
5308,저스트유도짐,유도,경기,안양시,경기도 안양시 만안구 박달로479번길 5,지하1층 저스트유도(박달동),7040278118,월 회원권(추가금액 문의),126.9056559,37.40276108
5309,유일태권도명,태권도,경기,화성시,경기도 화성시 남양읍 남양시장로55번길 5-1,3충 유일태권도,313563855,태권도,126.8153777,37.20929212
5310,k다이나믹복싱,복싱,전북,전주시,전라북도 전주시 덕진구 기지로 68,가온빌딩4층 401호. k다이나믹복싱(중동),632258428,복싱,127.0593312,35.83815086
5311,복싱멘토스쿨,복싱,경기,수원시,경기도 수원시 장안구 덕영대로417번길 52-52,신성빌딩 2층 복싱멘토스쿨(율전동),22691238,1개월 주 5회,126.9693321,37.30347373
5312,멘토태권도하는아이들,태권도,인천,남동구,인천광역시 남동구 만수로75번길 21,"2층 태권도장(만수동, 태화아파트및상가)",324635142,태권도,126.7357181,37.46329224
5314,문경휘트니스,헬스,충남,논산시,충청남도 논산시 중앙로 464,논산타워 2층 (반월동),417348801,개인락커(헬스),127.0853054,36.20463799
5315,뉴짐스,헬스,서울,서대문구,서울특별시 서대문구 응암로 112,3층(북가좌동),,체력단련,126.9135894,37.58244893
5316,비타민휘트니스,헬스,충북,청주시,충청북도 청주시 흥덕구 증안로 54,4층 비타민휘트니스(복대동),432328602,"헬스.유산소,근력운동",127.4293917,36.63633167
5317,언니네점핑,기타종목,경기,안산시,경기도 안산시 단원구 초지2로 14,"가동상가 2층 203호 (후문)(초지동, 그린빌주공18단지아파트)",,점핑,126.8109804,37.3055762
5318,루나 필라테스,필라테스,강원,춘천시,강원특별자치도 춘천시 퇴계로 188,2층 루나필라테스(석사동),,"필라테스/ 월,수/ 10시",127.7393648,37.8570658
5319,석계라텔주짓수,기타종목,서울,성북구,서울특별시 성북구 화랑로40길 53,성진빌딩 가동2층(석관동),,주짓수,127.064375,37.61364125
5320,조에폴스튜디오,무용(발레 등),경기,남양주시,경기도 남양주시 진접읍 광릉수목원로 183,B1,,왕초보 폴댄스 입문강좌,127.188442,37.74704427
5321,강대성골프아카데미,골프,울산,남구,울산광역시 남구 돋질로 337,3층강대성골프아카데미(삼산동),,골프스윙및 이론,129.3416826,35.54418679
5322,랠리테니스아카데미,테니스,대구,수성구,대구광역시 수성구 달구벌대로618길 33,302호(시지동),537161838,맞춤형 테니스교실,128.6968935,35.84091565
5324,마이더스주니어 스포츠클럽,농구,서울,서초구,서울특별시 서초구 방배로 196,지하 1층(방배동),25848464,기초 농구,126.9918836,37.49105792
