,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,x,y
82,성동구민종합체육센터수영장,수영장,1100000000,서울특별시,1120000000,성동구,성수1가 685-20,기타종목,아쿠아테라피14C,성인,20241101,20241130,화목토,14:00~14:50,0,140000,,https://sports.happysd.or.kr,127.0417991,37.54307015
83,성북구민체육관,생활체육관,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 화랑로13길 144 (하월곡동),탁구,"자율탁구(월,수,금)",대상없음,20241201,20241231,월수금,16:00~18:50,23,25000,,https://www.gongdan.go.kr,127.0422837,37.6086202
84,성북종합레포츠타운수영장,수영장,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 한천로58길 307 (석관동),수영,월자유수영18A,청소년,20241201,20241231,월수금,18:00~18:50,30,35000,,https://www.gongdan.go.kr,127.0700512,37.61021724
85,성서국민체육센터,수영장,2700000000,대구광역시,2729000000,달서구,대구광역시 달서구 선원로 133 (이곡동),수영,수영,성인,20241001,20241031,화목,,25,40000,,https://www.spsc.or.kr,128.5058527,35.86156411
86,소사국민체육센터,생활체육관,4100000000,경기도,4119000000,부천시,경기도 부천시 소사로 108 (소사본동),수영,10시 수영 월수금 연수B,중학생이상,20241101,20241130,월수금,10:00~10:50,0,60000,,https://www.best.or.kr,126.7985324,37.46860107
87,속초국민체육센터,수영장,5100000000,강원특별자치도,5121000000,속초시,강원특별자치도 속초시 조양로 89 (조양동),수영,새벽수영고급반(B),"청소년,성인,경로",20241001,20241031,수금,06:10~07:00,25,0,,https://sports.sokcho.go.kr,128.5906464,38.18671671
88,송도스포츠센터수영장,수영장,2600000000,부산광역시,2614000000,서구,부산광역시 서구 송도해변로 121 (암남동),수영," (화목)""",초1~6년,20241201,20241231,화목,17:00~17:50,0,30000,일반:,https://www.sdsports.or.kr,129.0201101,35.07807699
89,수영구 국민체육센터,기타시설,2600000000,부산광역시,2650000000,수영구,부산광역시 수영구 수영로521번길 77 (광안동),수영,월자유수영A_16 16시,청소년이상,20241201,20241231,월화수목금,16:00~16:50,0,45000,,https://www.sysports.or.kr,129.1074595,35.15293824
90,수영구 스포츠클럽,생활체육관,2600000000,부산광역시,2650000000,수영구,부산광역시 수영구 광남로257번길 12 (민락동),필라테스,07필라테스 월~금,,20241201,20241231,월화수목금,07:00~07:50,0,50000,,https://www.sygsports.co.kr,129.1269382,35.16094516
91,수원시체육회관,기타시설,4100000000,경기도,4111100000,수원시 장안구,경기도 수원시 장안구 정조로 998 (조원동),수영,"성인C_상급(교정,핀)",성인/청소년,20241101,20241130,월수금,15:00~15:50,0,50000,,https://swywca.sscc3030.or.kr,127.0092768,37.29610416
92,수원청소년문화센터,구기체육관,4100000000,경기도,4111500000,수원시 팔달구,경기도 수원시 팔달구 권광로 293 (인계동),종합체육시설,토-가족주말인라인B(청소년),초1~중3,20241201,20241231,토,11:30~12:50,25,30000,가족주말인라인_청소년,https://yeyak.syf.or.kr,127.0352697,37.27364078
