CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
41,경기,41280,고양시,벨린필라테스,,10355,경기도 고양시 일산동구 중산로 63,501호 벨린필라테스(중산동),79,필라테스,126.7821351,37.6777246,장애인강좌,,
41,경기,41280,고양시,별 태권도장,,10583,경기도 고양시 덕양구 삼송로 303,2층 별 태권도장(지축동),22,태권도,126.9079145,37.6526698,장애인강좌,,
41,경기,41360,남양주시,별내볼링장,315270872,12113,경기도 남양주시 별내2로 74,JS타워 9층(별내동),10,볼링,127.1255536,37.6468963,장애인강좌,,
41,경기,41590,화성시,병점BTA테니스아카데미,,18421,경기도 화성시 효행로1156번길 10,3층  303호(병점동),23,테니스,127.0517676,37.2138553,장애인강좌,,
41,경기,41110,수원시,보니따필라테스 수원곡반점,,16671,경기도 수원시 권선구 곡선로 42,7층 보니따필라테스(곡반정동),79,필라테스,127.0291061,37.2388644,장애인강좌,,
41,경기,41130,성남시,보텝스태권도장,7075003766,13306,경기도 성남시 수정구 태평로 4,3층 보텝스태권도장(태평동),22,태권도,127.1274428,37.4477947,장애인강좌,,
41,경기,41460,용인시,복싱멘토스쿨,313351022,17027,경기도 용인시 처인구 포곡읍 포곡로 110-1,신성빌딩 3층 복싱멘토스쿨,76,복싱,127.2178653,37.2692042,장애인강좌,,
41,경기,41650,포천시,복싱스페이스,315431156,11174,경기도 포천시 소흘읍 솔모루로 98-6,3층,76,복싱,127.1481306,37.8295524,장애인강좌,,
41,경기,41480,파주시,본국무예 문산합기도 검예,319340907,10816,경기도 파주시 문산읍 당동2로 7,2층 본국무예 문산합기도 검예,75,합기도,126.7843677,37.8680065,장애인강좌,,
41,경기,41630,양주시,"본국무예원 합기도, 검도, 국궁활쏘기 옥정본관",,11473,경기도 양주시 옥정로 204,7층 704호 본국무예원 옥정본관(옥정동),75,합기도,127.0921428,37.8198459,장애인강좌,,
41,경기,41270,안산시,본오세종태권도,314153374,15552,경기도 안산시 상록구 석호로 270,3층(본오동),22,태권도,126.8604155,37.2934546,장애인강좌,,
41,경기,41270,안산시,본주짓수 성포역점,314109199,15288,경기도 안산시 상록구 예술광장로 29,401(월피동),110,주짓수,126.8472605,37.3287909,장애인강좌,,
41,경기,41450,하남시,본필라테스,317941403,12909,경기도 하남시 미사강변대로226번길 15,"4층 402호 , 403호(망월동)",79,필라테스,127.1846878,37.5701068,장애인강좌,,
41,경기,41410,군포시,볼더팝,7042177788,15847,경기도 군포시 공단로104번길 11,1층(당정동),3,기타종목,126.9510963,37.3546158,장애인강좌,,
