,BASE_YEAR,ALSFC_CTPRVN_NM,ALSFC_SIGNGU_NM,SCHUL_TY_NM,SCHUL_NM,OPN_PD,ARBY_COT_CO_VALUE,ALSFC_ADDR,OPER_ITEM_CN,OPER_TIME_CN,SHWERRM_CO,TOILET_CO,LOCKERRM_CO,x,y
125,2017,충청남도,태안군,중학교,태안중학교,20170301~20171231,2139㎥ /6개 코트,"충청남도 태안군 태안읍 중앙로 115, 태안중학교","배드민턴,탁구",월요일:19:00~22:30 화요일:19:00~22:30  수요일:19:00~22:30  목요일:19:00~22:30  금요일:19:00~22:30  토요일:19:00~22:30  일요일:19:00~22:30,1,2,0,126.3011695,36.75339812
127,2017,경기도,안성시,중학교,양성중학교,20170301~20171231,600㎥ /4개 코트,"경기도 안성시 양성면 양성로 51, 양성중학교","배드민턴,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:00:00~00:00  일요일:19:00~22:00,0,1,0,127.1958085,37.06314661
128,2017,경상북도,성주군,초등학교,성주중앙초등학교,20170302~20171231,1.135㎥ /4개 코트,경상북도 성주군 성주읍 시장1길 17,"기타종목,배드민턴,탁구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~18:00,2,2,2,128.2864406,35.9167031
129,2017,강원도,인제군,고등학교,인제고등학교,20170301~20171231,1.300㎥ /4개 코트,"강원도 인제군 인제읍 인제로249번길 22, 인제고등학교","족구,배구",월요일:18:30~22:00 화요일:18:30~22:00  수요일:18:30~22:00  목요일:18:30~22:00  금요일:18:30~22:00  토요일:09:00~13:00,0,1,2,128.1773375,38.07422766
130,2017,대구광역시,달서구,초등학교,이곡초등학교,20170301~20171231,1193㎥ /10개 코트,"대구광역시 달서구 선원남로 120, 이곡초등학교 (이곡동)","기타종목,탁구",월요일:16:00~20:00 화요일:16:00~20:00  수요일:16:00~20:00  목요일:16:00~20:00  금요일:16:00~20:00  토요일:14:00~18:00  일요일:00:00~00:00,2,2,0,128.5136458,35.85684431
131,2017,경상북도,영양군,초등학교,영양초등학교,20170301~20171231,330㎥ /4개 코트,경상북도 영양군 영양읍 군청길 25,배드민턴,월요일:13:00~22:00 화요일:13:00~22:00  수요일:13:00~22:00  목요일:13:00~22:00  금요일:13:00~22:00  토요일:13:00~18:00,0,2,2,129.1111617,36.66634649
132,2017,경기도,시흥시,초등학교,시흥초등학교,20170301~20171231,668.2㎥ /1개 코트,경기도 시흥시 정왕대로143번길 15 (정왕동),"에어로빅,필라테스",월요일:11:00~19:00 화요일:11:00~19:00  수요일:11:00~19:00  목요일:11:00~19:00  금요일:11:00~19:00  토요일:13:00~15:00,0,0,0,126.7320864,37.3519773
133,2017,경기도,시흥시,중학교,배곧중학교,20170301~20171231,916.4㎥ /5개 코트,경기도 시흥시 배곧4로 72 (정왕동),"교정운동,배드민턴",월요일:16:30~20:30 화요일:12:00~17:00  수요일:16:30~20:30  목요일:16:30~20:30  금요일:16:30~20:30   일요일:10:00~18:00,2,3,2,126.730868,37.37490498
139,2017,부산광역시,부산진구,중학교,초읍중학교,20170301~20171231,720㎥ /1개 코트,"부산광역시 부산진구 성지로94번길 71, 초읍동 (초읍동)","요가,에어로빅,배구",월요일:18:00~22:00 화요일:17:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~17:00  일요일:14:00~17:00,0,1,0,129.0557404,35.18096061
141,2017,경기도,안성시,초등학교,내혜홀초등학교,20170301~20171231,773.1㎥ /4개 코트,"경기도 안성시 내혜홀3길 29, 내혜홀초등학교 (아양동)","배드민턴,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:00:00~00:00,0,1,0,127.2649044,37.00605462
