FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
(주)마이그라운드,11,서울,11305,강북구,29020123,1.13053E+11,서울특별시 강북구 도봉로 342지하2층  강북롤러스케이트(번동),127.0261456,37.6380351,다사581599
(주)무브먼트디자인,11,서울,11200,성동구,24650996,1.12004E+11,서울특별시 성동구 왕십리로14길 30-32층(성수동1가),127.0473449,37.5483776,다사600499
(주)무브멘탈랩,50,제주,50130,서귀포시,,5.01303E+11,제주특별자치도 서귀포시 성산읍 성산등용로 782층 무브멘탈랩,126.9291673,33.4688862,다나469976
(주)바디앤,41,경기,41460,용인시,,4.14653E+11,경기도 용인시 수지구 신봉1로 1653층 아임필라테스플라잉요가(신봉동),127.0686197,37.327795,다사617255
(주)박재현재활운동센터,41,경기,41150,의정부시,218118861,4.11503E+11,"경기도 의정부시 동일로 7133층302,303호(금오동)",127.0505282,37.7504504,다사604724
(주)비욘드그룹,30,대전,30140,중구,,3.01403E+11,대전광역시 중구 계백로 17113층(오류동),127.4094062,36.3218631,다바918138
(주)센트럴볼링센타,30,대전,30230,대덕구,426248800,3.02302E+11,대전광역시 대덕구 한밭대로 1027우성사료 지하1층 센트럴볼링장(오정동),127.4126862,36.3588063,다바921179
(주)스타칼리휘트니스,11,서울,11410,서대문구,231414477,1.14103E+11,서울특별시 서대문구 연희로 82브라운스톤 지하1층 스타칼리휘트니스(연희동),126.9302083,37.5652128,다사496519
(주)스포니스 신대방점,11,서울,11590,동작구,221354770,1.15904E+11,서울특별시 동작구 여의대방로22길 132동화빌딩 3층 스포니스 신대방점(신대방동),126.927179,37.4981612,다사493444
(주)스포에듀,11,서울,11380,은평구,23555200,1.13803E+11,서울특별시 은평구 통일로 1010로얄마린수영장(진관동),126.9185713,37.6327972,다사486594
(주)스포츠아일랜드,41,경기,41110,수원시,312592132,4.11153E+11,경기도 수원시 팔달구 월드컵로 310수원월드컵스포츠센터 스포츠아일랜드(우만동),127.036915,37.2865318,다사589209
(주)시흥비젼센터,41,경기,41390,시흥시,23197929,4.13903E+11,경기도 시흥시 마유로 416B1 (주)시흥비젼센터(정왕동),126.741265,37.3516037,다사328283
(주)아사힘 춘천지점,51,강원,51110,춘천시,7040990230,5.11103E+11,강원특별자치도 춘천시 춘천로 306-52층 203호(후평동),127.7471536,37.8813136,라사217868
(주)아티스 필라테스,41,경기,41280,고양시,,4.12813E+11,경기도 고양시 덕양구 지축로 62706호 아티스필라테스(지축동),126.9149833,37.6495361,다사483612
(주)애플스포츠,43,충북,43130,충주시,438541919,4.31303E+11,"충청북도 충주시 삼원로 751층,2층(봉방동)",127.9205882,36.9736036,라바374862
(주)양평패러글라이딩파크,41,경기,41830,양평군,317752681,4.18304E+11,경기도 양평군 옥천면 동막길 49(주)양평패러글라이딩파크,127.4637273,37.5594003,다사967511
(주)어뮤즈,44,충남,44130,천안시,25566742,4.41333E+11,충청남도 천안시 서북구 불당25로 146605호(불당동),127.1077361,36.8141843,다바650685
(주)어울림특수체육,26,부산,26470,연제구,517512722,2.64704E+11,"부산광역시 연제구 명륜로2번길 7B1, 어울림특수체육(거제동, 삼익퓨쳐타워아파트)",129.0812825,35.1952609,마라439900
(주)에스엠씨유소년축구교실,51,강원,51130,원주시,338130079,5.11303E+11,강원특별자치도 원주시 판부면 남원로 288-6(주)에스엠씨,127.9336274,37.3131914,라사384238
(주)엠엔제이 정석볼링장,44,충남,44825,태안군,26740880,4.48253E+11,충남 태안군 태안읍 환동로 31-14정석볼링장,126.2916948,36.7494849,나바921619
(주)엠피아이모던필라테스 제주아라점,50,제주,50110,제주시,648059757,5.01103E+11,제주특별자치도 제주시 중앙로 5583층 모던필라테스 제주아라점(아라일동),126.5453235,33.4738103,다나112984
(주)예천문화사업단,47,경북,47900,예천군,546532434,4.79005E+11,경상북도 예천군 예천읍 양궁장길 38양궁인쉼터,128.4683905,36.6346291,라바865489
(주)옹이진이스포츠진흥원,28,인천,28720,옹진군,327511199,2.87204E+11,인천광역시 옹진군 북도면 장봉로530번길 34(주)옹이진이스포츠진흥원,126.3391735,37.5339369,나사974489
(주)용인대월드태권도1관,43,충북,43150,제천시,436513235,4.31505E+11,충청북도 제천시 용두대로11길 22-4늘해찬상가 2층 용인대월드태권도(하소동),128.1976176,37.1371448,라사619044
(주)용인대월드태권도2관,43,충북,43150,제천시,436513235,4.31503E+11,충청북도 제천시 죽하로 5용인대월드태권도2관(장락동),128.2225157,37.1522783,라사641061
(주)월드스포츠컨설팅 관저다목적체육관,30,대전,30170,서구,425456000,3.01703E+11,대전광역시 서구 관저중로 10관저다목적체육관(관저동),127.3352043,36.29299,다바852106
(주)월드스포츠컨설팅 도마실국민체육센터,30,대전,30170,서구,425825556,3.01703E+11,대전광역시 서구 유등로 235도마실국민체육센터(도마동),127.3852098,36.3124105,다바896127
(주)웰니스코리아,41,경기,41460,용인시,,4.14634E+11,경기도 용인시 기흥구 흥덕2로87번길 18이씨티 D동 501-1호 웰니스코리아(영덕동),127.0718775,37.2758482,다사620197
(주)위드아동청소년발달센터,47,경북,47110,포항시,542937184,4.71115E+11,경상북도 포항시 남구 오천읍 냉천로320번길 48신현대빌딩 3층,129.4038166,35.9660658,마마716760
(주)유비디스포츠플로우,28,인천,28245,계양구,325556182,2.82453E+11,인천광역시 계양구 장기로 2반석빌딩 4층(장기동),126.7362733,37.5767572,다사325533
(주)유얼리,41,경기,41390,시흥시,314979370,4.13903E+11,경기도 시흥시 배곧4로 18에이플러스빌딩 403호 유얼리발달센터(배곧동),126.7264745,37.3779248,다사315312
(주)장돌,26,부산,26290,남구,516280558,2.62904E+11,부산광역시 남구 수영로219번길 292층(대연동),129.0903127,35.136556,마라448835
(주)제이원스파랜드 안동점,47,경북,47170,안동시,299338896,4.71703E+11,경상북도 안동시 퇴계로 167신안 제이원스파랜드(신안동),128.7321877,36.5723746,마바102423
