,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_TEL_NO,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,SAFE_MANAGT_CN,EDC_GOAL_CN,PRTC_NMPR_PARTCPT_AT,LDR_QUALF_CN,x,y
26,국민체육센터 수영장,수영장,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 우석로 102-3 (석사동),332577800,수영,주말수영,초등학생,20241101,20241130,토일,11:00~11:50,0,0,,https://www.cuc.or.kr,,,N,,127.7566777,37.86261988
27,군포시청소년수련관수영장,수영장,4100000000,경기도,4141000000,군포시,경기도 군포시 산본로 322 (금정동),313901400,기타종목,월수금19교정중(중-고-성인),중-고-성인,20241201,20241231,월수금,19:00~19:50,20,42000,,https://www.gpyf.or.kr,,,N,,126.9347608,37.35982376
28,금곡공원국민체육센터,생활체육관,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 금곡로 302 (정자동),,수영,"어린이수영_중급7_화,목_17시",어린이,20241201,20241231,화목,17:00~17:50,0,21000,,https://spo.isdc.co.kr,,,N,,127.1097356,37.35716138
29,금천구민문화체육센터,생활체육관,1100000000,서울특별시,1154500000,금천구,서울특별시 금천구 독산로54길 188 (독산동),28611313,기타종목,"번지핏/화,목18:30~19:20/8회수업기준/1층다목적룸  회원구분:단체레슨반  장소:1층다목적룸",14세~성인,20241201,20241231,화목,18:30~19:20,0,120000,청소년 (1개월),https://s.gfmc.kr,,,N,,126.9073405,37.47006899
30,금천구민문화체육센터수영장,수영장,1100000000,서울특별시,1154500000,금천구,금천구 독산4동371-2,28611313,수영,오전수영(상급)/화목강습+토자유수영(해당강습시간에만가능09:00~09:50)  회원구분:상급(평영~접영)  장소:수영장,14세~성인,20241101,20241130,화목토,09:00~09:50,0,110000,청소년 (3개월),https://s.gfmc.kr,,,N,,126.9072633,37.47013786
31,기장군국민체육센터,생활체육관,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광면 체육공원1로 29,517924770,배드민턴,"배드민턴 어린이반(화목,조영우)(2024)",,20241201,20241231,화목,17:00~17:50,24,0,,https://regs.gijangcmc.or.kr,,,N,,129.24285,35.30497463
32,기장군국민체육센터수영장,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광읍 체육공원1로 29,,기타종목,18시30분 어린이반(화~금)(2024),,20241201,20241231,화수목금,18:30~19:20,20,0,,https://regs.gijangcmc.or.kr,,,N,,129.24285,35.30497463
33,기장생활체육센터수영장,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 기장읍 차성서로109번길 24,,수영,NEW 18시30분 어린이수영(여),,20241201,20241231,화수목금,18:30~19:20,20,0,,https://regs.gijangcmc.or.kr,,,N,,129.2082011,35.24365234
34,김천실내수영장,수영장,4700000000,경상북도,4715000000,김천시,경상북도 김천시 운동장길 1 (삼락동),,기타종목,06시 상급,중학생이상,20241201,20241231,화수목금,06:00~06:50,25,16000,,https://www.gcfmc.or.kr,,,N,,128.086502,36.13969402
35,김포생활체육관,생활체육관,4100000000,경기도,4157000000,김포시,경기도 김포시 김포한강8로 198-3 (마산동),319968020,배드민턴,"배드민턴(월,수,금)18시~21시",중학생이상,20241201,20241231,월수금,18:00~22:00,22,0,배드민턴(월수금)18,https://yeyak.guc.or.kr,,,N,,126.6449051,37.64035315
36,남구 빙상장,빙상장,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 106 (용호동),,기타종목,스피드_어린이17,어린이&청소년,20241201,20241231,화목,17:00~17:45,15,60000,특강_초/중등(월6회),https://www.namgusports.go.kr,,,N,"· 전문스포츠지도사2급
· 생활스포츠지도사2급",129.1100779,35.10415758
37,남구국민체육센터 1관(실내체육관),생활체육관,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 110 (용호동),,배드민턴,배드민턴1350(개인레슨)_월수금,청소년이상,20241001,20241031,월수금,13:50~15:30,10,88000,배드민턴_월수금(개인레슨),https://www.namgusports.go.kr,,,N,,129.1082001,35.10388234
38,남양주시청소년수련관,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-47 (이패동),,수영,수영/아쿠아로빅   남양주청소년수련관 수영/아쿠아로빅- 수영단기속성C(화목)   남양주청소년수련관 수영/아쿠아로빅- 수영단기속성C(화목) 수영단기속성C(화목) 수영단기속성C(화목),,20241101,20241130,화목,17:00~17:50,0,100000,,https://www.ncuc.or.kr,,,N,,127.1781185,37.60893656
39,남양주체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 91 (이패동),,필라테스,기구필라테스 성인/청소년기구필라테스   남양주체육문화센터 기구필라테스-성인/청소년기구필라테스 18/A(월수금)여성기구필라테스   남양주체육문화센터 기구필라테스-성인/청소년기구필라테스 18/A(월수금)여성기구필라테스 기구필라테스(주3회) 기구필라테스(주3회),,20241101,20241130,월수금,18:00~18:50,0,180000,,https://www.ncuc.or.kr,,,N,,127.1777904,37.60592658
40,남양주체육문화센터수영장,수영장,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-27 (이패동),,수영,15/A(월수금)성인/청소년 수영주3회(청소년),,20241201,20241231,월수금,15:00~15:50,0,47000,,https://www.ncuc.or.kr,,,N,,127.1756062,37.60990889
41,능곡 어울림센터 다목적체육관,생활체육관,4100000000,경기도,4139000000,시흥시,경기도 시흥시 능곡로 140 (능곡동),,댄스(줌바 등),20시<줌바댄스>월수금,청소년~성인,20241001,20241031,,20:00~20:50,30,33330,줌바댄스,https://sportsapp.shsi.or.kr/,,,N,,126.8159456,37.36641994
42,능평스포츠센터-수영장,수영장,4100000000,경기도,4161000000,광주시,경기도 광주시 창뜰아랫길 14-3 (능평동),,기타종목,18시/B(진도)_고급-[14/16]개월차(영법교정),8세~13세,20241201,20241231,화목,18:00~18:50,15,23000,,https://gjcenter.gjcs.or.kr,,,N,,127.1667922,37.34894166
43,달성군국민체육센터,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 현풍면 현풍동로 180,536594105,수영,수영,초등학생,20241001,20241031,화목,17:00~17:50,0,0,,https://yeyak.dssiseol.or.kr,,,N,,128.4418206,35.70169197
44,달성문화센터수영장,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 대실역북로2길 188,536594108,수영,수영강습 월화수목금,성인남/여및중고생,20241201,20241231,월화수목금,09:00~09:50,0,0,,https://yeyak.dssiseol.or.kr,,,N,,128.4609555,35.86547511
45,도봉실내수영장,수영장,1100000000,서울특별시,1132000000,도봉구,서울특별시 도봉구 도봉로180나길 41 (도봉동),220912572,수영,21시저녁수영B(중급),"성인,청소년,경로",20241201,20241231,화목,21:00~21:50,22,22700,청소년-주2회,https://yeyak.dobongsiseol.or.kr,,,N,,127.0498958,37.68434454
46,동구 국민체육문예센터,생활체육관,2600000000,부산광역시,2617000000,동구,부산광역시 동구 구청로 8 (수정동),,수영,16시어린이수영교실,초등학생,20241001,20241031,월화수목금,16:00~16:50,50,0,,https://www.bsdgsportsart.or.kr,,진도별 지도가능하며 승급제로 수업합니다.,N,"생활스포츠지도자(수영, 배드민턴), 수상인명구조원, 유소년스포츠지도사 등.",129.0446742,35.12895295
47,동구문화체육센터 수영장,수영장,2800000000,인천광역시,2814000000,동구,인천광역시 동구 송림로110번길 5-8(송림동),,수영,화목 초급B반 어린이1부-자유형기초,어린이(만7세 이상),20241001,20241031,화목,16:00~16:50,20,40000,,https://cscenter.icdonggu.go.kr,,,N,,126.6475423,37.47577301
48,동대문구민체육센터수영장,수영장,1100000000,서울특별시,1123000000,동대문구,대전광역시 서구 장안동  장안로 587,,수영,06시 초급-화목,성인/청소년,20241101,20241130,화목,06:00~06:50,0,22000,,https://www.dfmc.kr/,,,N,,127.3370849,36.21164905
49,동래구국민체육센터실내수영장,수영장,2600000000,부산광역시,2626000000,동래구,부산광역시 동래구 미남로116번길 3 (온천동),,수영,(16)-어린이수영,초등학생,20241201,20241231,월화수목금,16:00~16:50,50,46000,어린이수영(1개월),https://sports.dongnae.go.kr,,전신지구력과 심폐기능 등 발달에 도움을 주며 어린이들이 물을 무서워 하지 않고 수영을 통해 자신감과 건강을 지킬수 있도록구성 헬퍼 등 안전 도구를 사용하여 물에 대한 두려움을 없애고 다양한 영법을 지도,N,"수상안전자격증, 생존수영강사자격증, 심판자격증",129.0697194,35.20453341
50,동작구민체육센터,생활체육관,1100000000,서울특별시,1159000000,동작구,서울특별시 동작구 여의대방로16길 53 (신대방동),28322445,축구(풋살),풋볼/특화 그룹/7세~9세   동작구민체육센터 풋볼/특화-그룹/7세~9세 10시[토]어린이/football/7세~초2 주1회[7세~초2]   동작구민체육센터 풋볼/특화-그룹/7세~9세 10시[토]어린이/football/7세~초2 주1회[7세~초2],,20241101,20241130,토,10:00~10:50,0,70000,,https://sports.idongjak.or.kr,,,N,,126.9167677,37.49471976
51,동작구민체육센터수영장,수영장,1100000000,서울특별시,1159000000,동작구,신대방동 460-1,28322445,수영,18시[화목]초급반/어린이 어린이/단체/주2회,,20241201,20241231,화목,18:00~18:50,0,18700,,https://sports.idongjak.or.kr,,,N,,126.9167737,37.49472364
52,마장국민체육센터,생활체육관,1100000000,서울특별시,1120000000,성동구,서울특별시 성동구 마조로11길 6 (마장동),222047900,댄스(줌바 등),초등방송댄스17C,초등학생,20241201,20241231,화목,17:00~17:50,15,40000,,https://sports.happysd.or.kr,,,N,,127.04079,37.56213021
53,문학박태환수영장,수영장,2800000000,인천광역시,2817000000,남구,인천광역시 남구 매소홀로 618 (문학동),324404325,수영,(07)새벽2반_주2회(중급),청소년이상,20241201,20241231,화목,07:00~07:50,30,48000,,https://www.icsports.or.kr,,,N,,126.6907598,37.43508198
54,미추홀구 국민체육센터,수영장,2800000000,인천광역시,2817700000,미추홀구,인천광역시 미추홀구 경인로42번길 57 (숭의동),,수영,17시 어린이_초급[주2회],어린이,20241201,20241231,화목,17:00~17:50,20,40000,,https://www.imfmc.co.kr,,,N,"생활스포츠지도사 (수영)
수상안전요원",126.6494662,37.46195279
55,백운커뮤니티센터,수영장,4100000000,경기도,4143000000,의왕시,경기도 의왕시 백운중앙로 74 (학의동),,기타종목,10시 화목 교정2(성인남녀/청소년),성인/청소년,20241001,20241031,화목,10:00~10:50,20,16520,,https://reserve.uuc.or.kr,,,N,,127.0075798,37.3700378
56,보령국민체육센터수영장,수영장,4400000000,충청남도,4418000000,보령시,충청남도 보령시 남포면 보령남로 347,419304972,수영,16시 어린이수영[초급반],초등학생,20241101,20241130,월수,16:00~16:50,0,0,,https://www.brcn.go.kr,,,N,인명구조요원(대한적십자사) 2급 생활스포츠지도사(수영),126.6039317,36.31376021
57,부곡다목적실내체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡공원길 6 (월암동),3180867421,배구,부곡 10시 화목 배구,"성인,청소년",20241201,20241231,화목,10:00~12:00,25,33000,,https://reserve.uuc.or.kr,,,N,,126.9587549,37.31463525
58,부곡스포츠센터,생활체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡시장길 77 (삼동),313452544,요가,19시 월수금 요가,성인 및 청소년,20241001,20241031,월수금,19:00~19:50,35,39600,,https://reserve.uuc.or.kr,,,N,,126.9572372,37.31864395
59,부산국민체육센터,생활체육관,2600000000,부산광역시,2614000000,서구,부산광역시 서구 대신로 150 (서대신동3가),512535959,배드민턴,배드민턴 K반,청소년 이상,20241201,20241231,월화수목금,20:00~20:50,0,45100,,https://www.bnsc.or.kr,,,N,,129.0157696,35.11732419
60,부산진구 국민체육센터,수영장,2600000000,부산광역시,2623000000,부산진구,부산광역시 부산진구 진남로328번길 35 (전포동),,수영,생활수영 09_생활수영B,청소년이상,20241201,20241231,월화수목금,09:00~09:50,0,66000,,https://www.jsports.or.kr,,,N,,129.0737727,35.15538668
61,북구국민체육센터,생활체육관,2600000000,부산광역시,2632000000,북구,부산광역시 북구 화명대로94번길 83 (화명동),,에어로빅,에어로빅(A) 21시,초등학생이상,20241201,20241231,월화수목금,21:00~21:50,0,57000,,https://www.bukgusports.com,,,N,,129.0174211,35.23078774
62,북구국민체육센터,생활체육관,3100000000,울산광역시,3120000000,북구,울산광역시 북구 호계로 416-31 (신천동),522417370,댄스(줌바 등),줌바로빅(A) 09시,초등학생이상,20241201,20241231,월화수목금,09:00~09:50,0,57000,,https://www.bukgusports.com,,,N,,129.3470136,35.64276707
63,분당야탑청소년수련관수영장,수영장,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 벌말로30번길 35(야탑동),,수영,(청소년)아침수영교실(월수금7시),청소년,20241201,20241231,월수금,07:00~07:50,10,36000,,https://snyouth.or.kr,,,N,,127.1418618,37.4102383
64,사당문화회관수영장,수영장,1100000000,서울특별시,1159000000,동작구,사당동 248-6,28322445,수영,[18시금]초등소수/초등 *소수정예수영(금),,20241201,20241231,금,18:00~18:50,0,50000,,https://sports.idongjak.or.kr,,,N,,126.9696139,37.48471444
65,사하구국민체육센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 감천로 68 (감천동),512023800,수영,07시 새벽수영_중급,청소년이상,20241101,20241130,월화수목금,07:00~07:50,0,68000,,https://www.sahaksports.or.kr,,,N,,128.9988776,35.08943501
66,삼각산문화예술회관수영장(구.강북구민회관수영장),수영장,1100000000,서울특별시,1130500000,강북구,서울특별시 강북구 삼각산로 85 (수유동),,기타종목,유아반 16시 [월수금] 신규 미정,7세,20241201,20241231,월수금,16:00~16:50,12,32000,,https://gbcmc.or.kr,,,N,,127.0138781,37.64098979
67,서대문체육회관수영장,수영장,1100000000,서울특별시,1141000000,서대문구,홍은3동 산26-155,,수영,수영강습_중급_화목_20시(접영~오리발),"성인,청소년",20241101,20241130,화목,20:00~20:50,0,20000,,https://cs.sscmc.or.kr,,,N,,126.9315574,37.58075973
68,서부산권장애인스포츠센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 낙동남로1233번길 20 (하단동),,수영,17시 어린이수영[월수금],어린이,20241001,20241031,월수금,17:00~17:50,15,48390,,https://www.sbsd.kr,,,N,,128.9469416,35.10942029
69,서울여성능력개발원수영장,기타시설,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 아차산로30길 36 (자양동),,수영,S07-4오전10시어린이자유수영(토),,20241201,20241231,토,10:00~10:50,20,12000,,https://dongbu.seoulwomanup.or.kr,,,N,,127.0667179,37.5394028
70,서재문화체육센터 배드민턴장,기타시설,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 다사로 750,538034263,배드민턴,야간배드민턴,청소년이상,20241201,20241231,월화수목금,18:30~21:30,96,0,,https://13.dpfc.or.kr,,,N,,128.5032013,35.88428804
71,선학국제빙상경기장,빙상장,2800000000,인천광역시,2818500000,연수구,인천광역시 연수구 경원대로 526 (선학동),324404325,빙상(스케이트),토)14시~16시피겨_기초반(신규모집),7세 ~ 성인,20241001,20241031,토,14:00~15:45,20,0,7세,https://www.seonhakicerink.or.kr,,,N,생활체육지도사 2급 (빙상),126.7018481,37.43090319
